,id,overall_sent,time_period_labour,time_period_conservatives
1121051,1172406618320846848,-1,1,1
3713253,1178647131416084480,1,1,3
1233904,1172605458785472514,-1,1,1
3810388,1178840539044683776,0,1,3
2482697,1175862681984786432,-1,3,1
2097522,1174682145807380480,0,3,1
3802855,1178805795078713344,-1,1,3
2419581,1175695414433079296,0,3,1
3906514,1179083138405994497,-1,1,3
2315776,1175334644155408384,-2,3,1
777439,1171823712536080386,1,1,1
2280708,1175173863971467264,0,3,1
2641607,1176245257610104833,-1,1,1
2930388,1176823229975056385,-3,4,2
381474,1171122065417625606,-2,1,1
2589000,1176150001451487232,2,1,1
685221,1171678518201266177,-1,1,1
3988407,1179326271941222402,0,1,1
3072295,1177135613927202816,-3,4,2
4300841,1179842249586143232,0,1,4
683901,1171676881902551045,-1,1,1
667377,1171609912356540416,-1,1,1
1850807,1174072190733619200,-2,2,1
4194061,1179691791282577408,-1,1,4
1913052,1174249378086866944,0,1,1
2442583,1175735100576808962,-2,3,1
641496,1171525055244726273,1,1,1
3360642,1177858583591112704,1,1,1
3873589,1179002452206596102,-3,1,3
3871763,1178998467903012864,0,1,3
2785351,1176541778469691392,0,4,1
4093736,1179485337770500096,-1,1,1
860274,1171922641890021377,2,1,1
1211679,1172564465608355840,0,1,1
2638782,1176240317093294081,-1,1,1
532901,1171352305054167040,-1,1,1
1577131,1173507691660136448,2,2,1
4314736,1179862766619893760,0,1,4
706734,1171704000980369408,0,1,1
2212768,1174988038973403136,1,3,1
270179,1171022554120826881,-2,1,1
600885,1171443393622233088,-2,1,1
1920404,1174258387896475649,-2,1,1
1687848,1173693101451427845,-1,2,1
524864,1171343357924261888,0,1,1
2474079,1175837504810946562,0,3,1
1052408,1172236627399335938,0,1,1
595602,1171435073037406208,-1,1,1
1998067,1174404545532874755,-2,1,1
4540037,1180429065314066432,-1,1,4
3646914,1178524133237248000,-1,1,3
2817413,1176585920822284288,0,4,1
2507403,1175993108674306049,-1,1,1
204248,1170968475805868033,-2,1,1
1355705,1172897843562078208,-1,1,1
3928858,1179127553371586560,-1,1,3
998053,1172159188669280258,2,1,1
470967,1171223130918072322,0,1,1
662188,1171568829308297216,-1,1,1
2741540,1176479863491977218,-1,4,1
2922088,1176809233473519616,0,4,2
3380730,1177890331649609728,0,1,1
3907427,1179084970486358016,-1,1,3
411588,1171150833658056706,1,1,1
1787668,1173940006039248908,-2,2,1
304244,1171049483666427904,0,1,1
